,STUDYSOP,DateField,PopulatedCount,%Populated,MissingnessCount,%Missingness
0,CT02,COMPLETIONDATE,2078,5.698676586,25347,94.30132341
1,CT02,FINALREPORTDATE,13125,21.17999971,14300,78.82000029
2,CT02,FSFV,12980,29.83088416,14445,70.16911584
3,CT02,LSLV,12562,17.15121381,14863,82.84878619
4,CT24,COMPLETIONDATE,261,2.897563525,3934,97.10243648
5,CT24,FINALREPORTDATE,2109,18.16229899,2086,81.83770101
6,CT24,FSFV,2531,32.56982948,1664,67.43017052
7,CT24,LSLV,2418,20.29158097,1777,79.70841903
8,CT44,COMPLETIONDATE,5,14.85714286,22,85.14285714
9,CT44,FINALREPORTDATE,3,6.857142858,24,93.14285714
10,CT44,FSFV,14,36.28571429,13,63.71428571
11,CT44,LSLV,4,16,23,84
12,CT45,COMPLETIONDATE,17,15.02976191,81,84.9702381
13,CT45,FINALREPORTDATE,21,17.33058608,77,82.66941392
14,CT45,FSFV,44,37.5,54,62.5
15,CT45,LSLV,31,25,67,75
16,GNT01,COMPLETIONDATE,8853,97.4595721,54,2.5404279
17,GNT01,FINALREPORTDATE,3382,29.63446926,5525,70.36553074
18,GNT01,FSFV,0,0,8907,100
19,GNT01,LSLV,0,0,8907,100
20,RC01,COMPLETIONDATE,386,89.66726084,19,10.33273916
21,RC01,FINALREPORTDATE,272,34.74839564,133,65.25160436
22,RC01,FSFV,0,0,405,100
23,RC01,LSLV,0,0,405,100
